"filename", "language", "Java", "Markdown", "comment", "blank", "total"
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\bin\Game\Time\Clocks.class", "Java", 18, 0, 0, 0, 18
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\bin\Game\Time\DailyLoop$PartOfDay.class", "Java", 16, 0, 0, 0, 16
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\bin\Game\Time\DailyLoop.class", "Java", 31, 0, 0, 0, 31
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\bin\Game\Time\Loop.class", "Java", 19, 0, 0, 0, 19
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\bin\Game\Time\Time.class", "Java", 25, 0, 0, 0, 25
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\bin\Server\Chat.class", "Java", 6, 0, 0, 0, 6
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\bin\Server\Client.class", "Java", 16, 0, 0, 0, 16
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\bin\Server\GetMessage.class", "Java", 50, 0, 0, 1, 51
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\bin\Server\MatchMakingSystems\BasicMatchMakingSystem$1.class", "Java", 12, 0, 0, 0, 12
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\bin\Server\MatchMakingSystems\BasicMatchMakingSystem.class", "Java", 21, 0, 0, 0, 21
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\bin\Server\MatchMakingSystems\MatchMakingSystem$Condition.class", "Java", 15, 0, 0, 0, 15
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\bin\Server\MatchMakingSystems\MatchMakingSystem.class", "Java", 12, 0, 0, 0, 12
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\bin\Server\SendMessage.class", "Java", 94, 0, 0, 1, 95
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\bin\Server\Server$1.class", "Java", 23, 0, 0, 0, 23
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\bin\Server\Server.class", "Java", 49, 0, 8, 0, 57
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\bin\likeliness\Dice.class", "Java", 13, 0, 0, 0, 13
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\App.java", "Java", 12, 0, 0, 1, 13
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Console\ConsoleColors.java", "Java", 60, 0, 8, 8, 76
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Console\ConsoleListener.java", "Java", 78, 0, 1, 6, 85
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Console\ConsolePrint.java", "Java", 42, 0, 0, 2, 44
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Calendar\Calendar.java", "Java", 26, 0, 0, 4, 30
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Calendar\Events\Event.java", "Java", 25, 0, 0, 6, 31
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Calendar\Events\EventBehaviour.java", "Java", 18, 0, 0, 6, 24
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Calendar\Events\EventChangeWeather.java", "Java", 33, 0, 0, 8, 41
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Calendar\Events\EventItemChange.java", "Java", 21, 0, 0, 6, 27
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Calendar\Events\EventMoveClouds.java", "Java", 28, 0, 0, 8, 36
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Calendar\Events\EventPartOfDay.java", "Java", 20, 0, 0, 7, 27
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Creatures\Behaviour\Behaviour.java", "Java", 22, 0, 0, 3, 25
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Creatures\Behaviour\Behaviours\Eat.java", "Java", 28, 0, 0, 9, 37
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Creatures\Behaviour\Behaviours\Move.java", "Java", 64, 0, 6, 14, 84
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Creatures\Behaviour\PlayersLookAround.java", "Java", 83, 0, 20, 14, 117
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Creatures\Condition\AbilityCondition.java", "Java", 70, 0, 0, 3, 73
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Creatures\Condition\ActualCondition.java", "Java", 120, 0, 22, 6, 148
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Creatures\Creature.java", "Java", 48, 0, 2, 4, 54
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Creatures\Inventory\Gear.java", "Java", 7, 0, 1, 3, 11
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Creatures\Inventory\Inventory.java", "Java", 46, 0, 2, 10, 58
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Creatures\Inventory\PlayersGear.java", "Java", 81, 0, 0, 5, 86
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Creatures\Player.java", "Java", 28, 0, 2, 5, 35
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Game.java", "Java", 47, 0, 2, 8, 57
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Items\Item.java", "Java", 19, 0, 0, 3, 22
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Items\ItemsSpecialStats\SpecialFoodsProperties.java", "Java", 16, 0, 0, 3, 19
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Items\ItemsSpecialStats\SpecialToolsProperties.java", "Java", 14, 0, 0, 2, 16
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Items\ListOfAllItemTypes.java", "Java", 37, 0, 0, 16, 53
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Items\TypeItem\ClothesTypeItem.java", "Java", 23, 0, 0, 2, 25
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Items\TypeItem\FoodTypeItem.java", "Java", 28, 0, 0, 5, 33
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Items\TypeItem\QuestTypeItem.java", "Java", 9, 0, 0, 3, 12
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Items\TypeItem\ToolTypeItem.java", "Java", 11, 0, 0, 3, 14
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Items\TypeItem\TypeItem.java", "Java", 15, 0, 0, 2, 17
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Items\Types\Clothes.java", "Java", 14, 0, 0, 3, 17
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Items\Types\Food.java", "Java", 58, 0, 0, 5, 63
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Items\Types\QuestItem.java", "Java", 9, 0, 0, 5, 14
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Items\Types\Tool.java", "Java", 11, 0, 0, 4, 15
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Maps\Map.java", "Java", 25, 0, 3, 3, 31
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Maps\MapGenerators\BasicGenerator.java", "Java", 48, 0, 6, 9, 63
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Maps\MapGenerators\MapGenerator.java", "Java", 8, 0, 0, 3, 11
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Maps\Maps.java", "Java", 11, 0, 0, 3, 14
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Maps\PlaceEffects\PlaceEffect.java", "Java", 11, 0, 0, 2, 13
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Maps\PlaceEffects\PlaceEffects.java", "Java", 9, 0, 0, 2, 11
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Maps\Place\AList.java", "Java", 6, 0, 0, 3, 9
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Maps\Place\ListOfAllTypesOfPlaces.java", "Java", 56, 0, 10, 8, 74
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Maps\Place\Place.java", "Java", 44, 0, 0, 6, 50
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Maps\Place\TypeOfPlace.java", "Java", 38, 0, 0, 2, 40
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Maps\Resources\ListOfAllTypesOfResources.java", "Java", 12, 0, 0, 4, 16
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Maps\Resources\Resource.java", "Java", 7, 0, 0, 2, 9
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Maps\Resources\TypeOfResource.java", "Java", 12, 0, 1, 3, 16
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Maps\Resources\TypeOfResourceWithPressence.java", "Java", 14, 0, 0, 4, 18
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Maps\Weather\Sky.java", "Java", 131, 0, 4, 7, 142
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Maps\Weather\Weather.java", "Java", 30, 0, 0, 4, 34
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Time\Clocks.java", "Java", 17, 0, 0, 2, 19
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Time\DailyLoop.java", "Java", 35, 0, 0, 2, 37
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Time\Loop.java", "Java", 22, 0, 0, 3, 25
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Game\Time\Time.java", "Java", 53, 0, 5, 19, 77
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Server\Chat.java", "Java", 3, 0, 22, 3, 28
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Server\Client.java", "Java", 26, 0, 4, 7, 37
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Server\GetMessage.java", "Java", 86, 0, 7, 11, 104
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Server\MatchMakingSystems\BasicMatchMakingSystem.java", "Java", 46, 0, 2, 7, 55
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Server\MatchMakingSystems\MatchMakingSystem.java", "Java", 26, 0, 2, 6, 34
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Server\SendMessage.java", "Java", 106, 0, 0, 27, 133
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\Server\Server.java", "Java", 110, 0, 28, 21, 159
"c:\Users\ticha\Documents\Moje projekty\informatika\Zapocet\world\World\src\likeliness\Dice.java", "Java", 23, 0, 0, 7, 30
"Total", "-", 3781, 10, 174, 395, 4360
